game_date,gamePk,away_team,home_team,team_a,team_b,away_full,home_full,away_sp,home_sp,nrfi_prob,yrfi_prob,pick,lean,threshold,pass_margin,feature_coverage,features_found,features_total,home_runs_1st,away_runs_1st,actual_nrfi,correct,status
2026-03-25,823244,NYY,SF,NYY,SF,New York Yankees,San Francisco Giants,Max Fried,Logan Webb,0.4802,0.5198,PASS,PASS,0.47,0.03,0.558,43,77,0.0,0.0,True,,Final
2026-03-26,823974,AZ,LAD,AZ,LAD,Arizona Diamondbacks,Los Angeles Dodgers,Zac Gallen,Yoshinobu Yamamoto,0.5438,0.4562,NRFI,YES,0.47,0.03,0.636,49,77,0.0,0.0,True,True,Final
2026-03-26,824541,BOS,CIN,BOS,CIN,Boston Red Sox,Cincinnati Reds,Garrett Crochet,Andrew Abbott,0.4672,0.5328,PASS,PASS,0.47,0.03,0.818,63,77,0.0,0.0,True,,Final
2026-03-26,823163,CLE,SEA,CLE,SEA,Cleveland Guardians,Seattle Mariners,Tanner Bibee,Logan Gilbert,0.4878,0.5122,PASS,PASS,0.47,0.03,0.727,56,77,1.0,1.0,False,,Final
2026-03-26,823812,CWS,MIL,CWS,MIL,Chicago White Sox,Milwaukee Brewers,Shane Smith,Jacob Misiorowski,0.4872,0.5128,PASS,PASS,0.47,0.03,0.636,49,77,0.0,1.0,False,,Final
2026-03-26,823325,DET,SD,DET,SD,Detroit Tigers,San Diego Padres,Tarik Skubal,Nick Pivetta,0.4533,0.5467,PASS,PASS,0.47,0.03,0.558,43,77,0.0,4.0,False,,Final
2026-03-26,824218,LAA,HOU,LAA,HOU,Los Angeles Angels,Houston Astros,José Soriano,Hunter Brown,0.5031,0.4969,NRFI,YES,0.47,0.03,0.636,49,77,0.0,0.0,True,True,Final
2026-03-26,824865,MIN,BAL,MIN,BAL,Minnesota Twins,Baltimore Orioles,Joe Ryan,Trevor Rogers,0.6701,0.3299,NRFI,YES,0.47,0.03,0.818,63,77,0.0,0.0,True,True,Final
2026-03-26,823649,PIT,NYM,PIT,NYM,Pittsburgh Pirates,New York Mets,Paul Skenes,Freddy Peralta,0.4533,0.5467,PASS,PASS,0.47,0.03,0.545,42,77,5.0,2.0,False,,Final
2026-03-26,823081,TB,STL,TB,STL,Tampa Bay Rays,St. Louis Cardinals,Drew Rasmussen,Matthew Liberatore,0.5153,0.4847,NRFI,YES,0.47,0.03,0.636,49,77,0.0,0.0,True,True,Final
