team,game_date,pitcher_hand_split,PA,K,BB,HR,H,team_k_rate_vs_hand,team_bb_rate_vs_hand,team_hr_rate_vs_hand,team_h_rate_vs_hand,team_hand_key,team_k_rate_vs_hand_last7,team_bb_rate_vs_hand_last7,team_hr_rate_vs_hand_last7,team_h_rate_vs_hand_last7,team_k_rate_vs_hand_last10,team_bb_rate_vs_hand_last10,team_hr_rate_vs_hand_last10,team_h_rate_vs_hand_last10,team_k_rate_vs_hand_last14,team_bb_rate_vs_hand_last14,team_hr_rate_vs_hand_last14,team_h_rate_vs_hand_last14,team_k_rate_vs_hand_last21,team_bb_rate_vs_hand_last21,team_hr_rate_vs_hand_last21,team_h_rate_vs_hand_last21,team_k_rate_vs_hand_last30,team_bb_rate_vs_hand_last30,team_hr_rate_vs_hand_last30,team_h_rate_vs_hand_last30,team_k_rate_vs_hand_std,team_bb_rate_vs_hand_std,team_hr_rate_vs_hand_std,team_h_rate_vs_hand_std
ATH,2026-03-15,L,5,1,1,0,1,0.2000,0.2000,0.0000,0.2000,ATH_vs_L,,,,,,,,,,,,,,,,,,,,,,,,
ATH,2026-03-16,L,3,2,0,0,0,0.6667,0.0000,0.0000,0.0000,ATH_vs_L,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.2000
ATH,2026-03-17,L,25,5,1,2,5,0.2000,0.0400,0.0800,0.2000,ATH_vs_L,0.4333,0.1000,0.0000,0.1000,0.4333,0.1000,0.0000,0.1000,0.4333,0.1000,0.0000,0.1000,0.4333,0.1000,0.0000,0.1000,0.4333,0.1000,0.0000,0.1000,0.4333,0.1000,0.0000,0.1000
ATH,2026-03-20,L,5,1,0,1,2,0.2000,0.0000,0.2000,0.4000,ATH_vs_L,0.3556,0.0800,0.0267,0.1333,0.3556,0.0800,0.0267,0.1333,0.3556,0.0800,0.0267,0.1333,0.3556,0.0800,0.0267,0.1333,0.3556,0.0800,0.0267,0.1333,0.3556,0.0800,0.0267,0.1333
ATH,2026-03-21,L,3,0,0,0,0,0.0000,0.0000,0.0000,0.0000,ATH_vs_L,0.3167,0.0600,0.0700,0.2000,0.3167,0.0600,0.0700,0.2000,0.3167,0.0600,0.0700,0.2000,0.3167,0.0600,0.0700,0.2000,0.3167,0.0600,0.0700,0.2000,0.3167,0.0600,0.0700,0.2000
ATH,2026-03-23,L,24,4,4,1,7,0.1667,0.1667,0.0417,0.2917,ATH_vs_L,0.2533,0.0480,0.0560,0.1600,0.2533,0.0480,0.0560,0.1600,0.2533,0.0480,0.0560,0.1600,0.2533,0.0480,0.0560,0.1600,0.2533,0.0480,0.0560,0.1600,0.2533,0.0480,0.0560,0.1600
ATH,2026-03-28,L,7,2,1,1,4,0.2857,0.1429,0.1429,0.5714,ATH_vs_L,0.2389,0.0678,0.0536,0.1819,0.2389,0.0678,0.0536,0.1819,0.2389,0.0678,0.0536,0.1819,0.2389,0.0678,0.0536,0.1819,0.2389,0.0678,0.0536,0.1819,0.2389,0.0678,0.0536,0.1819
ATH,2026-03-29,L,21,10,1,1,3,0.4762,0.0476,0.0476,0.1429,ATH_vs_L,0.2456,0.0785,0.0664,0.2376,0.2456,0.0785,0.0664,0.2376,0.2456,0.0785,0.0664,0.2376,0.2456,0.0785,0.0664,0.2376,0.2456,0.0785,0.0664,0.2376,0.2456,0.0785,0.0664,0.2376
ATH,2026-03-30,L,4,2,0,0,1,0.5000,0.0000,0.0000,0.2500,ATH_vs_L,0.2850,0.0567,0.0732,0.2294,0.2744,0.0746,0.0640,0.2257,0.2744,0.0746,0.0640,0.2257,0.2744,0.0746,0.0640,0.2257,0.2744,0.0746,0.0640,0.2257,0.2744,0.0746,0.0640,0.2257
ATH,2026-03-31,L,32,9,3,0,7,0.2812,0.0938,0.0000,0.2188,ATH_vs_L,0.2612,0.0567,0.0732,0.2651,0.2995,0.0663,0.0569,0.2284,0.2995,0.0663,0.0569,0.2284,0.2995,0.0663,0.0569,0.2284,0.2995,0.0663,0.0569,0.2284,0.2995,0.0663,0.0569,0.2284
