team,game_date,batter_hand_split,PA,K,BB,HR,H,team_allowed_k_rate_vs_hand,team_allowed_bb_rate_vs_hand,team_allowed_hr_rate_vs_hand,team_allowed_h_rate_vs_hand,team_hand_key,team_allowed_k_rate_vs_hand_last7,team_allowed_bb_rate_vs_hand_last7,team_allowed_hr_rate_vs_hand_last7,team_allowed_h_rate_vs_hand_last7,team_allowed_k_rate_vs_hand_last10,team_allowed_bb_rate_vs_hand_last10,team_allowed_hr_rate_vs_hand_last10,team_allowed_h_rate_vs_hand_last10,team_allowed_k_rate_vs_hand_last14,team_allowed_bb_rate_vs_hand_last14,team_allowed_hr_rate_vs_hand_last14,team_allowed_h_rate_vs_hand_last14,team_allowed_k_rate_vs_hand_last21,team_allowed_bb_rate_vs_hand_last21,team_allowed_hr_rate_vs_hand_last21,team_allowed_h_rate_vs_hand_last21,team_allowed_k_rate_vs_hand_last30,team_allowed_bb_rate_vs_hand_last30,team_allowed_hr_rate_vs_hand_last30,team_allowed_h_rate_vs_hand_last30,team_allowed_k_rate_vs_hand_std,team_allowed_bb_rate_vs_hand_std,team_allowed_hr_rate_vs_hand_std,team_allowed_h_rate_vs_hand_std
ATH,2026-03-15,L,19,3,3,1,8,0.1579,0.1579,0.0526,0.4211,ATH_vs_L,,,,,,,,,,,,,,,,,,,,,,,,
ATH,2026-03-16,L,12,1,2,0,1,0.0833,0.1667,0.0000,0.0833,ATH_vs_L,0.1579,0.1579,0.0526,0.4211,0.1579,0.1579,0.0526,0.4211,0.1579,0.1579,0.0526,0.4211,0.1579,0.1579,0.0526,0.4211,0.1579,0.1579,0.0526,0.4211,0.1579,0.1579,0.0526,0.4211
ATH,2026-03-17,L,16,2,2,2,5,0.1250,0.1250,0.1250,0.3125,ATH_vs_L,0.1206,0.1623,0.0263,0.2522,0.1206,0.1623,0.0263,0.2522,0.1206,0.1623,0.0263,0.2522,0.1206,0.1623,0.0263,0.2522,0.1206,0.1623,0.0263,0.2522,0.1206,0.1623,0.0263,0.2522
ATH,2026-03-19,L,22,9,1,0,4,0.4091,0.0455,0.0000,0.1818,ATH_vs_L,0.1221,0.1499,0.0592,0.2723,0.1221,0.1499,0.0592,0.2723,0.1221,0.1499,0.0592,0.2723,0.1221,0.1499,0.0592,0.2723,0.1221,0.1499,0.0592,0.2723,0.1221,0.1499,0.0592,0.2723
ATH,2026-03-20,L,16,5,2,0,2,0.3125,0.1250,0.0000,0.1250,ATH_vs_L,0.1938,0.1238,0.0444,0.2497,0.1938,0.1238,0.0444,0.2497,0.1938,0.1238,0.0444,0.2497,0.1938,0.1238,0.0444,0.2497,0.1938,0.1238,0.0444,0.2497,0.1938,0.1238,0.0444,0.2497
ATH,2026-03-21,L,15,2,5,1,3,0.1333,0.3333,0.0667,0.2000,ATH_vs_L,0.2176,0.1240,0.0355,0.2247,0.2176,0.1240,0.0355,0.2247,0.2176,0.1240,0.0355,0.2247,0.2176,0.1240,0.0355,0.2247,0.2176,0.1240,0.0355,0.2247,0.2176,0.1240,0.0355,0.2247
ATH,2026-03-22,L,16,5,1,1,4,0.3125,0.0625,0.0625,0.2500,ATH_vs_L,0.2035,0.1589,0.0407,0.2206,0.2035,0.1589,0.0407,0.2206,0.2035,0.1589,0.0407,0.2206,0.2035,0.1589,0.0407,0.2206,0.2035,0.1589,0.0407,0.2206,0.2035,0.1589,0.0407,0.2206
ATH,2026-03-23,L,21,2,5,0,5,0.0952,0.2381,0.0000,0.2381,ATH_vs_L,0.2191,0.1451,0.0438,0.2248,0.2191,0.1451,0.0438,0.2248,0.2191,0.1451,0.0438,0.2248,0.2191,0.1451,0.0438,0.2248,0.2191,0.1451,0.0438,0.2248,0.2191,0.1451,0.0438,0.2248
ATH,2026-03-27,L,16,2,2,0,2,0.1250,0.1250,0.0000,0.1250,ATH_vs_L,0.2101,0.1566,0.0363,0.1987,0.2036,0.1567,0.0383,0.2265,0.2036,0.1567,0.0383,0.2265,0.2036,0.1567,0.0383,0.2265,0.2036,0.1567,0.0383,0.2265,0.2036,0.1567,0.0383,0.2265
ATH,2026-03-28,L,17,0,3,0,7,0.0000,0.1765,0.0000,0.4118,ATH_vs_L,0.2161,0.1506,0.0363,0.2046,0.1949,0.1532,0.0341,0.2152,0.1949,0.1532,0.0341,0.2152,0.1949,0.1532,0.0341,0.2152,0.1949,0.1532,0.0341,0.2152,0.1949,0.1532,0.0341,0.2152
