feature,importance,target
opp_sp_h_rate,0.046140887,H
PA_std,0.03059803,H
PA_last21,0.02709322,H
PA_last30,0.023013463,H
PA_last14,0.020905672,H
PA_last10,0.019430725,H
opp_sp_ip,0.014590052,H
hitter_k_rate_vs_hand_std_R,0.013956197,H
hitter_hr_rate_vs_hand_last10_R,0.013034572,H
H_last30,0.01197527,H
hitter_k_rate_vs_hand_last10_R,0.011578353,H
hitter_hr_rate_vs_hand_std_L,0.010884675,H
PA_last3,0.010756011,H
PA_last7,0.010732158,H
H_std,0.0106898965,H
hitter_bb_rate_vs_hand_std_L,0.010496676,H
hitter_bb_rate_vs_hand_std_R,0.010462333,H
hitter_h_rate_vs_hand_last10_R,0.010268598,H
opp_sp_k_rate,0.009628834,H
hitter_bb_rate_vs_hand_last10_L,0.00932446,H
hitter_k_rate_vs_hand_std_L,0.00909198,H
hitter_hr_rate_vs_hand_std_R,0.008994419,H
hitter_h_rate_vs_hand_std_R,0.008984811,H
hitter_h_rate_vs_hand_std_L,0.00838042,H
H_last21,0.008175145,H
hitter_k_rate_vs_hand_last10_L,0.00812441,H
hitter_h_rate_vs_hand_last10_L,0.008105938,H
opp_sp_hr_rate,0.007893067,H
hitter_bb_rate_vs_hand_last10_R,0.0077768965,H
opp_sp_bb_rate,0.0074709347,H
opp_sp_ip_last10,0.0074678105,H
opp_sp_ip_std,0.0074270177,H
hitter_hr_rate_vs_hand_last10_L,0.0071750195,H
H_last14,0.007134904,H
k_rate_last21,0.00704178,H
bb_rate_last30,0.0070241624,H
k_rate_last14,0.007017059,H
hr_rate_last14,0.0070123407,H
HR_last30,0.007011016,H
h_tt_bb,0.0069233426,H
h_tt_k,0.006904034,H
ev_spread_std,0.0068074935,H
h_rate_last14,0.0067837113,H
times_on_base_rate_last10,0.0067693344,H
xbh_proxy_rate_std,0.006768975,H
BB_std,0.0067625744,H
avg_LA_std,0.006742265,H
H_last7,0.006732256,H
h_tt_h,0.006700107,H
BB_last30,0.006657164,H
h_rate_last21,0.006652564,H
k_rate_std,0.0066174646,H
h_tt_hr,0.006525727,H
hard_hit_proxy_std,0.0065195905,H
opp_sp_bb_rate_last10,0.0065078605,H
opp_sp_hr_rate_std,0.006481519,H
avg_LA_last10,0.006468169,H
k_rate_last30,0.00644954,H
ev_la_interaction_std,0.0064335447,H
avg_EV_std,0.006425949,H
K_last14,0.006413724,H
k_rate_last10,0.0064127743,H
BB_last7,0.006406976,H
h_rate_std,0.006396439,H
max_EV_std,0.006393743,H
barrel_proxy_std,0.006390277,H
HR_std,0.0063798963,H
max_EV_last10,0.006357314,H
bb_rate_last7,0.0063502057,H
H_last10,0.0063448907,H
K_last30,0.0063258437,H
opp_sp_k_rate_std,0.0063245255,H
k_rate_last7,0.006323253,H
HR_last14,0.0063191485,H
K_std,0.006311429,H
K_last7,0.00630174,H
team_allowed_hr_rate_vs_hand_std,0.006280975,H
hr_rate_last21,0.006274982,H
h_rate_last30,0.0062483037,H
opp_sp_bb_rate_std,0.006239621,H
HR_last21,0.006221047,H
ev_la_interaction_last10,0.006220459,H
K_last21,0.006219741,H
BB_last21,0.006210102,H
hr_rate_std,0.0062054605,H
ev_spread_last10,0.0061885826,H
h_rate_last10,0.0061830613,H
hr_rate_last30,0.006181797,H
opp_sp_h_rate_last10,0.006177,H
team_allowed_bb_rate_vs_hand_std,0.0061594252,H
sweet_spot_proxy_std,0.00615449,H
hard_hit_proxy_last10,0.0061454494,H
bb_rate_last21,0.0061438354,H
bb_rate_last10,0.0061344244,H
barrel_proxy_last10,0.006100478,H
max_h_rate_last10,0.006066663,H
team_allowed_k_rate_vs_hand_std,0.0060464954,H
blast_proxy_std,0.0060219965,H
h_rate_last7,0.0060174875,H
opp_sp_k_rate_last10,0.0060079535,H
HR_last10,0.0059964135,H
max_hr_rate_last10,0.0059927367,H
times_on_base_rate_std,0.0059922165,H
days_since_game,0.0059196413,H
opp_sp_h_rate_std,0.0059185456,H
bb_rate_std,0.0058883773,H
team_allowed_h_rate_vs_hand_std,0.005862582,H
blast_proxy_last10,0.00584847,H
opp_sp_hr_rate_last10,0.005834304,H
bb_rate_last14,0.005832744,H
team_allowed_hr_rate_vs_hand_last10,0.005827146,H
team_allowed_h_rate_vs_hand_last10,0.0058083283,H
BB_last14,0.0057936152,H
K_last10,0.0057851234,H
hr_rate_last7,0.0057768733,H
avg_EV_last10,0.00577113,H
team_allowed_bb_rate_vs_hand_last10,0.00576787,H
BB_last10,0.0057549234,H
team_allowed_k_rate_vs_hand_last10,0.005689256,H
hr_rate_last10,0.005665868,H
xbh_proxy_rate_last10,0.005579789,H
park_factor,0.0054668337,H
sweet_spot_proxy_last10,0.0054270322,H
HR_last7,0.0046957103,H
opp_sp_hr_rate,0.080675416,HR
HR_std,0.030032322,HR
max_EV_std,0.025485588,HR
opp_sp_h_rate,0.02210224,HR
h_tt_hr,0.01986806,HR
hitter_hr_rate_vs_hand_std_R,0.018273694,HR
PA_last30,0.018237352,HR
HR_last21,0.018056229,HR
HR_last30,0.015845215,HR
hr_rate_std,0.01563562,HR
PA_last21,0.015545631,HR
K_last30,0.015389711,HR
xbh_proxy_rate_std,0.012912498,HR
opp_sp_ip,0.011555561,HR
max_EV_last10,0.0111229345,HR
blast_proxy_std,0.011002204,HR
K_std,0.010549105,HR
barrel_proxy_std,0.010198106,HR
avg_EV_std,0.009892399,HR
PA_std,0.009732596,HR
hr_rate_last30,0.00948988,HR
PA_last14,0.009356664,HR
ev_la_interaction_std,0.009327712,HR
hard_hit_proxy_std,0.009123741,HR
h_rate_std,0.008698388,HR
hitter_hr_rate_vs_hand_std_L,0.008688105,HR
hitter_k_rate_vs_hand_std_L,0.0084856255,HR
hr_rate_last7,0.008202686,HR
H_last21,0.008195279,HR
hitter_h_rate_vs_hand_std_R,0.008143186,HR
opp_sp_ip_last10,0.008036691,HR
hitter_k_rate_vs_hand_last10_L,0.007981421,HR
opp_sp_ip_std,0.007967962,HR
K_last7,0.0073930994,HR
HR_last10,0.0073256344,HR
bb_rate_std,0.007221551,HR
hitter_hr_rate_vs_hand_last10_R,0.0071935738,HR
xbh_proxy_rate_last10,0.007185931,HR
H_std,0.0070880638,HR
PA_last7,0.0069552087,HR
H_last30,0.0069535975,HR
hitter_h_rate_vs_hand_last10_R,0.0069376505,HR
h_rate_last30,0.0069333697,HR
hitter_bb_rate_vs_hand_std_R,0.006902858,HR
PA_last10,0.0068937535,HR
h_rate_last21,0.0068446104,HR
H_last10,0.0068272357,HR
team_allowed_k_rate_vs_hand_std,0.0068178526,HR
ev_la_interaction_last10,0.006746751,HR
BB_last7,0.0067083184,HR
hitter_bb_rate_vs_hand_std_L,0.006659657,HR
hitter_k_rate_vs_hand_std_R,0.006608486,HR
hitter_k_rate_vs_hand_last10_R,0.0065897577,HR
hitter_bb_rate_vs_hand_last10_R,0.006450021,HR
hr_rate_last10,0.006390614,HR
BB_std,0.006366171,HR
hitter_bb_rate_vs_hand_last10_L,0.006350641,HR
h_tt_bb,0.0062837373,HR
ev_spread_std,0.006223744,HR
h_tt_k,0.006129274,HR
k_rate_std,0.0061158636,HR
K_last21,0.006114584,HR
opp_sp_k_rate,0.0061018714,HR
hr_rate_last14,0.0060988734,HR
hitter_h_rate_vs_hand_std_L,0.0060336087,HR
team_allowed_bb_rate_vs_hand_std,0.0060268473,HR
bb_rate_last30,0.0060142,HR
k_rate_last7,0.006001965,HR
bb_rate_last10,0.005942246,HR
times_on_base_rate_last10,0.005871339,HR
K_last10,0.0058619943,HR
BB_last14,0.0058420873,HR
hitter_hr_rate_vs_hand_last10_L,0.005837985,HR
h_rate_last10,0.005828295,HR
H_last14,0.005827008,HR
opp_sp_h_rate_last10,0.00581024,HR
ev_spread_last10,0.0057885195,HR
k_rate_last10,0.005780677,HR
HR_last14,0.005779507,HR
h_tt_h,0.005723451,HR
BB_last30,0.0057137697,HR
k_rate_last30,0.00569183,HR
opp_sp_hr_rate_std,0.0056476407,HR
bb_rate_last7,0.005622965,HR
h_rate_last14,0.0056200516,HR
hitter_h_rate_vs_hand_last10_L,0.0056016515,HR
avg_LA_std,0.0055670924,HR
sweet_spot_proxy_std,0.005541048,HR
avg_LA_last10,0.0054781395,HR
opp_sp_bb_rate,0.005460182,HR
team_allowed_hr_rate_vs_hand_std,0.0054440782,HR
k_rate_last14,0.0054272907,HR
team_allowed_h_rate_vs_hand_last10,0.005372318,HR
BB_last10,0.0053690816,HR
opp_sp_k_rate_std,0.0053310418,HR
K_last14,0.0052937446,HR
opp_sp_hr_rate_last10,0.005246747,HR
team_allowed_hr_rate_vs_hand_last10,0.005220158,HR
max_h_rate_last10,0.005197414,HR
bb_rate_last14,0.0051900786,HR
avg_EV_last10,0.0051825526,HR
team_allowed_k_rate_vs_hand_last10,0.005101099,HR
bb_rate_last21,0.0050861496,HR
opp_sp_k_rate_last10,0.005084039,HR
times_on_base_rate_std,0.005078588,HR
hr_rate_last21,0.0050068083,HR
PA_last3,0.005002081,HR
team_allowed_h_rate_vs_hand_std,0.0049811243,HR
HR_last7,0.0049804277,HR
BB_last21,0.0048604165,HR
h_rate_last7,0.004774552,HR
team_allowed_bb_rate_vs_hand_last10,0.0047466727,HR
opp_sp_bb_rate_last10,0.0047309897,HR
sweet_spot_proxy_last10,0.00454314,HR
k_rate_last21,0.004440006,HR
H_last7,0.004180067,HR
opp_sp_bb_rate_std,0.0041036126,HR
days_since_game,0.0040660636,HR
opp_sp_h_rate_std,0.00399905,HR
hard_hit_proxy_last10,0.0037344364,HR
max_hr_rate_last10,0.0016579691,HR
park_factor,0.0004316787,HR
barrel_proxy_last10,0.0,HR
blast_proxy_last10,0.0,HR
opp_sp_bb_rate,0.04876451,BB
BB_std,0.04539734,BB
BB_last14,0.029353322,BB
BB_last7,0.028161258,BB
BB_last30,0.02780472,BB
BB_last21,0.027801659,BB
PA_last14,0.025102746,BB
PA_last7,0.022773128,BB
hitter_bb_rate_vs_hand_std_R,0.02050437,BB
PA_std,0.0196022,BB
opp_sp_ip,0.019013107,BB
HR_last30,0.015301223,BB
PA_last10,0.01454028,BB
PA_last21,0.014427021,BB
bb_rate_last14,0.013367282,BB
hitter_bb_rate_vs_hand_std_L,0.013207514,BB
hitter_bb_rate_vs_hand_last10_R,0.011754327,BB
h_tt_bb,0.011415656,BB
HR_last7,0.010660963,BB
PA_last3,0.0103181545,BB
PA_last30,0.00998913,BB
hitter_k_rate_vs_hand_std_R,0.009877668,BB
hitter_hr_rate_vs_hand_last10_R,0.009415042,BB
hitter_bb_rate_vs_hand_last10_L,0.008726074,BB
xbh_proxy_rate_std,0.008486776,BB
ev_spread_last10,0.008416602,BB
max_EV_std,0.008037125,BB
HR_std,0.00758917,BB
opp_sp_ip_last10,0.007570744,BB
bb_rate_std,0.007531234,BB
hitter_k_rate_vs_hand_last10_L,0.007411754,BB
hitter_hr_rate_vs_hand_std_R,0.007407243,BB
hitter_hr_rate_vs_hand_std_L,0.007328722,BB
hitter_h_rate_vs_hand_std_L,0.0073093637,BB
max_EV_last10,0.0072355196,BB
hitter_k_rate_vs_hand_std_L,0.0070665227,BB
K_std,0.0070022005,BB
avg_EV_std,0.0069963024,BB
team_allowed_bb_rate_vs_hand_std,0.006992628,BB
hitter_hr_rate_vs_hand_last10_L,0.006828452,BB
opp_sp_h_rate,0.006692227,BB
hr_rate_last21,0.0066471403,BB
hitter_h_rate_vs_hand_std_R,0.0066246116,BB
K_last30,0.006545719,BB
HR_last10,0.0064256936,BB
HR_last21,0.0064050434,BB
K_last7,0.0063798865,BB
BB_last10,0.006317306,BB
opp_sp_ip_std,0.0063119247,BB
hitter_k_rate_vs_hand_last10_R,0.0062754396,BB
hitter_h_rate_vs_hand_last10_L,0.0062401863,BB
h_tt_hr,0.0060727787,BB
h_rate_std,0.006035854,BB
k_rate_last30,0.006000887,BB
xbh_proxy_rate_last10,0.0059603285,BB
barrel_proxy_std,0.0059093363,BB
h_rate_last7,0.005871598,BB
hr_rate_last30,0.0058437977,BB
blast_proxy_std,0.005811574,BB
H_last30,0.005792239,BB
bb_rate_last7,0.005747934,BB
H_last14,0.0057423897,BB
ev_la_interaction_std,0.0057301074,BB
bb_rate_last30,0.0056991777,BB
hr_rate_last14,0.0056667025,BB
H_last7,0.005631958,BB
hr_rate_last7,0.005582228,BB
barrel_proxy_last10,0.005401791,BB
avg_LA_std,0.0053562857,BB
opp_sp_bb_rate_last10,0.0053306767,BB
opp_sp_h_rate_std,0.0052616135,BB
hr_rate_std,0.0052530905,BB
K_last14,0.005147614,BB
k_rate_std,0.0051376047,BB
k_rate_last21,0.005113298,BB
avg_EV_last10,0.005094501,BB
team_allowed_bb_rate_vs_hand_last10,0.005074026,BB
team_allowed_k_rate_vs_hand_last10,0.0050729676,BB
opp_sp_bb_rate_std,0.0050446135,BB
opp_sp_k_rate,0.005016072,BB
k_rate_last14,0.0050071958,BB
K_last10,0.0049849297,BB
bb_rate_last21,0.0049537485,BB
team_allowed_h_rate_vs_hand_std,0.004946729,BB
h_rate_last14,0.004852054,BB
opp_sp_k_rate_last10,0.0047453754,BB
opp_sp_hr_rate_last10,0.0047105993,BB
opp_sp_k_rate_std,0.0046929005,BB
sweet_spot_proxy_std,0.0046779183,BB
H_std,0.0046553356,BB
team_allowed_hr_rate_vs_hand_last10,0.0046481034,BB
hard_hit_proxy_std,0.004645666,BB
hitter_h_rate_vs_hand_last10_R,0.0046031945,BB
days_since_game,0.0045907944,BB
h_rate_last10,0.004574477,BB
times_on_base_rate_last10,0.0045362124,BB
k_rate_last10,0.0045308433,BB
opp_sp_hr_rate_std,0.0045283814,BB
H_last21,0.0045129852,BB
sweet_spot_proxy_last10,0.004501096,BB
bb_rate_last10,0.0044988263,BB
ev_spread_std,0.0044954554,BB
h_tt_h,0.0044903955,BB
h_rate_last21,0.004487207,BB
h_rate_last30,0.00445308,BB
times_on_base_rate_std,0.004396631,BB
team_allowed_hr_rate_vs_hand_std,0.0043686233,BB
max_h_rate_last10,0.0043530874,BB
opp_sp_h_rate_last10,0.004323102,BB
K_last21,0.00420379,BB
hr_rate_last10,0.0041716476,BB
H_last10,0.00417092,BB
ev_la_interaction_last10,0.0041159205,BB
team_allowed_k_rate_vs_hand_std,0.004018718,BB
h_tt_k,0.0039326428,BB
team_allowed_h_rate_vs_hand_last10,0.0038638979,BB
avg_LA_last10,0.00376532,BB
max_hr_rate_last10,0.0035658425,BB
k_rate_last7,0.0035525588,BB
hard_hit_proxy_last10,0.0033598526,BB
park_factor,0.0030086688,BB
opp_sp_hr_rate,0.0027479331,BB
HR_last14,0.0,BB
blast_proxy_last10,0.0,BB
K_std,0.052060794,K
K_last21,0.044341706,K
K_last30,0.043370195,K
opp_sp_k_rate,0.03752617,K
HR_std,0.024380524,K
K_last14,0.022600293,K
K_last10,0.021352082,K
HR_last21,0.017939236,K
k_rate_last14,0.016216429,K
hr_rate_std,0.016194321,K
xbh_proxy_rate_std,0.015984317,K
hitter_k_rate_vs_hand_std_R,0.015603491,K
hitter_hr_rate_vs_hand_std_R,0.014372757,K
PA_last14,0.013047053,K
hitter_k_rate_vs_hand_std_L,0.012312773,K
k_rate_std,0.012259031,K
BB_last21,0.011022705,K
h_tt_k,0.010707439,K
HR_last10,0.0104991775,K
PA_last21,0.010408661,K
PA_last30,0.010289628,K
max_EV_std,0.01023793,K
PA_last10,0.010069844,K
hr_rate_last21,0.009783362,K
H_last14,0.009469985,K
hr_rate_last30,0.009430202,K
HR_last30,0.009165997,K
PA_std,0.009074662,K
BB_std,0.008870007,K
hitter_k_rate_vs_hand_last10_R,0.008827369,K
HR_last14,0.008794077,K
BB_last30,0.008725633,K
h_tt_hr,0.008427262,K
H_std,0.008336759,K
H_last21,0.008168886,K
k_rate_last21,0.008052698,K
max_EV_last10,0.007973935,K
opp_sp_k_rate_std,0.007771205,K
hitter_bb_rate_vs_hand_std_L,0.0075965594,K
opp_sp_ip,0.007548254,K
BB_last14,0.007427738,K
hitter_k_rate_vs_hand_last10_L,0.007069547,K
h_tt_bb,0.007046085,K
bb_rate_last21,0.0070026955,K
hr_rate_last14,0.0069332905,K
hitter_hr_rate_vs_hand_std_L,0.006672677,K
opp_sp_ip_std,0.006637526,K
hitter_bb_rate_vs_hand_std_R,0.0066307085,K
hitter_bb_rate_vs_hand_last10_R,0.00656489,K
HR_last7,0.0063587665,K
bb_rate_last30,0.00634244,K
times_on_base_rate_std,0.0063237646,K
opp_sp_k_rate_last10,0.006297228,K
barrel_proxy_std,0.0060714376,K
k_rate_last30,0.0060485858,K
PA_last7,0.00600993,K
opp_sp_ip_last10,0.0059867543,K
hitter_hr_rate_vs_hand_last10_R,0.005875438,K
BB_last7,0.005854127,K
times_on_base_rate_last10,0.005797725,K
H_last30,0.005797487,K
bb_rate_std,0.005611285,K
PA_last3,0.00559073,K
hr_rate_last10,0.0054924646,K
H_last7,0.0054857954,K
H_last10,0.005475996,K
hitter_h_rate_vs_hand_std_L,0.0054653236,K
hitter_h_rate_vs_hand_std_R,0.0054258397,K
blast_proxy_std,0.00541104,K
h_rate_last7,0.0053052516,K
opp_sp_h_rate,0.005226181,K
hitter_h_rate_vs_hand_last10_L,0.005199643,K
hitter_h_rate_vs_hand_last10_R,0.0051938165,K
opp_sp_bb_rate_std,0.005039697,K
K_last7,0.0050172913,K
avg_EV_std,0.0049403394,K
avg_EV_last10,0.0049326294,K
hitter_bb_rate_vs_hand_last10_L,0.0049318857,K
hard_hit_proxy_last10,0.0049092644,K
hitter_hr_rate_vs_hand_last10_L,0.004869747,K
bb_rate_last14,0.0048617823,K
sweet_spot_proxy_std,0.0048519797,K
bb_rate_last7,0.0048457645,K
bb_rate_last10,0.004824267,K
opp_sp_hr_rate_last10,0.0048233857,K
h_rate_last10,0.0048191627,K
max_h_rate_last10,0.0047196257,K
opp_sp_bb_rate,0.00466176,K
team_allowed_k_rate_vs_hand_std,0.004621272,K
k_rate_last7,0.004562492,K
ev_spread_last10,0.004545012,K
hard_hit_proxy_std,0.004434052,K
k_rate_last10,0.0044240654,K
h_rate_std,0.004395535,K
avg_LA_std,0.0043829237,K
ev_spread_std,0.0043716505,K
team_allowed_k_rate_vs_hand_last10,0.00435029,K
opp_sp_h_rate_std,0.004334751,K
h_rate_last14,0.0043161144,K
hr_rate_last7,0.0043081017,K
h_rate_last30,0.0042987308,K
BB_last10,0.004137177,K
avg_LA_last10,0.004133932,K
team_allowed_hr_rate_vs_hand_std,0.0041185454,K
team_allowed_bb_rate_vs_hand_std,0.004101305,K
opp_sp_hr_rate_std,0.00403459,K
team_allowed_h_rate_vs_hand_std,0.0040336186,K
team_allowed_hr_rate_vs_hand_last10,0.003994821,K
team_allowed_bb_rate_vs_hand_last10,0.003926367,K
h_rate_last21,0.0038967528,K
barrel_proxy_last10,0.0038952646,K
opp_sp_hr_rate,0.003868588,K
opp_sp_h_rate_last10,0.0037590973,K
sweet_spot_proxy_last10,0.0036205298,K
team_allowed_h_rate_vs_hand_last10,0.0035541267,K
h_tt_h,0.0035182056,K
park_factor,0.0033305294,K
ev_la_interaction_std,0.0031826978,K
ev_la_interaction_last10,0.0030691156,K
opp_sp_bb_rate_last10,0.002985575,K
xbh_proxy_rate_last10,0.0,K
days_since_game,0.0,K
max_hr_rate_last10,0.0,K
blast_proxy_last10,0.0,K
PA_last21,0.11672792,PA
PA_std,0.08005241,PA
PA_last14,0.062167175,PA
