feature,importance,target
outs_last10,0.058110445737838745,K
K_last30,0.05216310918331146,K
BF_last7,0.04921376332640648,K
K_last21,0.04209371656179428,K
outs_last3,0.026295101270079613,K
K_last10,0.025930125266313553,K
pitches_last7,0.02423708513379097,K
IP_last10,0.02368040569126606,K
p_tt_k,0.02146529220044613,K
K_last14,0.020617876201868057,K
matchup_k,0.020229298621416092,K
BF_last3,0.019306067377328873,K
K_std,0.016794994473457336,K
pitches_last14,0.016426537185907364,K
K_last7,0.014738405123353004,K
K_rate_std,0.014436917379498482,K
outs_last14,0.014199234545230865,K
K_rate_last30,0.013544656336307526,K
K_rate_last7,0.011939787305891514,K
BF_last21,0.011198778636753559,K
IP_last7,0.009831724688410759,K
BF_last10,0.009806539863348007,K
pitches_last21,0.008889671415090561,K
IP_std,0.008792051114141941,K
pitches_last3,0.008665894158184528,K
avg_velocity_last7,0.008583253249526024,K
avg_velocity_last10,0.008492441847920418,K
outs_std,0.008393349125981331,K
pitches_std,0.008122931234538555,K
outs_last7,0.0075636194087564945,K
IP_last21,0.007552522234618664,K
IP_last14,0.007541397586464882,K
BF_last30,0.006623312830924988,K
starter_pct_last5,0.0065398854203522205,K
pitcher_k_rate_vs_hand_std_L,0.006422745063900948,K
p_tt_bb,0.006292643956840038,K
avg_velocity_std,0.00628884369507432,K
pitches_last10,0.006271013990044594,K
HR_rate_last21,0.005906920414417982,K
H_last10,0.005814226809889078,K
park_factor,0.005762383807450533,K
pitcher_k_rate_vs_hand_last10_L,0.005616622511297464,K
BF_std,0.005614266265183687,K
lineup_tt_k,0.005557090509682894,K
BB_last21,0.005380649585276842,K
team_k_rate_vs_hand_std,0.00537694850936532,K
pitches_per_IP_last10,0.005339339375495911,K
max_ip_last10,0.0053320638835430145,K
BF_per_IP_last10,0.005302593111991882,K
H_last7,0.005290712229907513,K
BB_last10,0.005240561440587044,K
pitcher_bb_rate_vs_hand_last10_R,0.005198136903345585,K
IP_last30,0.005107513628900051,K
HR_last10,0.00509373564273119,K
pitches_per_IP_std,0.00506808003410697,K
BF_last14,0.005054935347288847,K
lineup_tt_hr,0.004972139373421669,K
avg_spin_std,0.004942544735968113,K
HR_rate_last30,0.004903812892735004,K
pitches_last30,0.004825643729418516,K
HR_rate_last7,0.00481528090313077,K
pitcher_bb_rate_vs_hand_std_R,0.004742157645523548,K
H_rate_last10,0.004683255683630705,K
BB_rate_last10,0.004655660130083561,K
matchup_bb,0.004645061679184437,K
matchup_h,0.004615835379809141,K
days_rest,0.004602162167429924,K
p_tt_h,0.004586172755807638,K
pitcher_k_rate_vs_hand_std_R,0.004554129205644131,K
pitcher_hr_rate_vs_hand_std_R,0.0045267920941114426,K
BB_rate_last7,0.004523587413132191,K
pitcher_bb_rate_vs_hand_last10_L,0.004507781937718391,K
BB_std,0.004485125653445721,K
HR_rate_std,0.004449737258255482,K
p_tt_hr,0.00444483757019043,K
K_rate_last21,0.004399293102324009,K
lineup_tt_h,0.004390571266412735,K
pitcher_h_rate_vs_hand_std_L,0.004356921184808016,K
pitcher_h_rate_vs_hand_std_R,0.004329171497374773,K
pitcher_hr_rate_vs_hand_last10_R,0.0043168580159544945,K
pitcher_bb_rate_vs_hand_std_L,0.004301390610635281,K
BB_last7,0.004235527943819761,K
pitches_per_BF_last10,0.004146641120314598,K
matchup_hr,0.004098821431398392,K
starter_pct_last10,0.004088365938514471,K
team_h_rate_vs_hand_std,0.004067398142069578,K
team_h_rate_vs_hand_last10,0.00405408488586545,K
pitcher_k_rate_vs_hand_last10_R,0.004040637519210577,K
H_rate_last14,0.004003413487225771,K
HR_rate_last14,0.003992944024503231,K
H_rate_last21,0.003976298961788416,K
team_hr_rate_vs_hand_last10,0.003966569434851408,K
H_std,0.003938643727451563,K
HR_rate_last10,0.0039376625791192055,K
pitcher_hr_rate_vs_hand_last10_L,0.0038528048899024725,K
BB_last30,0.0038472639862447977,K
pitches_per_BF_std,0.003837879979982972,K
team_k_rate_vs_hand_last10,0.003809771267697215,K
H_rate_last30,0.003800922306254506,K
BF_per_IP_std,0.0037627017591148615,K
team_bb_rate_vs_hand_std,0.003753237659111619,K
BB_last14,0.0036343473475426435,K
team_hr_rate_vs_hand_std,0.0036234392318874598,K
team_bb_rate_vs_hand_last10,0.0036164498887956142,K
pitcher_hr_rate_vs_hand_std_L,0.003518379759043455,K
max_ip_last5,0.003484388580545783,K
H_last21,0.003472199896350503,K
BB_rate_std,0.0034395242109894753,K
BB_rate_last14,0.0034286370500922203,K
pitcher_h_rate_vs_hand_last10_R,0.0034120422787964344,K
H_rate_std,0.003392584854736924,K
BB_rate_last30,0.0033608556259423494,K
BB_rate_last21,0.0033484918531030416,K
pitcher_h_rate_vs_hand_last10_L,0.003291310044005513,K
K_rate_last10,0.0032850378192961216,K
HR_last7,0.003257314907386899,K
HR_last14,0.0031419340521097183,K
K_rate_last14,0.003082900308072567,K
H_rate_last7,0.003054980421438813,K
lineup_tt_bb,0.002928219037130475,K
H_last14,0.0027850139886140823,K
HR_std,0.002672384027391672,K
HR_last21,0.0026297688018530607,K
H_last30,0.0,K
HR_last30,0.0,K
outs_last21,0.0,K
outs_last30,0.0,K
