player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date,proj_hr_allowed,direct_TB,rate_TB,proj_tb
pitcher,BAL,SEA,Trey Gibson,694346,,,,,5.03,15.0,2.27,4.37,3.64,1.85,3.308735918486693,3.975627855063882,1.6466003811760974,2.4452229296257384,4.074090015060459,5.531432413711614,0.5935566575009921,0.7624931949172863,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.64,,,
pitcher,SEA,BAL,Emerson Hancock,676106,,,,,5.41,16.0,2.27,4.82,5.64,1.63,5.559359430630362,5.728174978548464,1.528051939666792,1.9466695652290917,4.652091552715299,5.504155084620849,0.5881810789501168,0.7443703305185142,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.64,,,
pitcher,BOS,TB,Connelly Early,813349,,,,,5.35,16.0,2.38,5.12,5.57,1.78,5.7025715205384415,5.445682513156404,1.6577380011695326,2.1494612142988143,5.007877922471628,5.557046206785071,0.6428451510726229,0.8472109207701742,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.7,,,
pitcher,CLE,NYY,Gavin Williams,668909,,,,,5.79,17.0,2.41,5.19,6.33,1.34,6.073885761220355,6.581081215702583,1.2652465389237066,1.5734623069457858,4.979546290925226,6.0351652932086886,0.8014389239752009,0.8853806521441969,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.83,,,
pitcher,NYY,CLE,Will Warren,701542,,,,,5.48,16.0,2.24,4.58,6.23,1.64,5.896429058865198,6.560366570888038,1.5187576282819581,2.0078710867926093,4.436496384984291,5.147326478647844,0.5581968766167653,0.769344475749638,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.62,,,
pitcher,TOR,PHI,Patrick Corbin,571578,,,,,5.11,15.0,2.5,4.98,3.77,1.63,3.354086666685779,4.179270774930354,1.5160987396719272,1.9627125577629476,4.820999061456724,5.604215228263719,0.7992890305472122,0.8977636162243798,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.83,,,
pitcher,PHI,TOR,Cristopher Sánchez,650911,,,,,5.5,16.0,2.41,5.13,7.01,1.24,7.249933700513426,6.7758751587698365,1.1811169356113245,1.424097115567768,5.006365172101882,5.642242639637275,0.5680745191035665,0.6211420962385712,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.58,,,
pitcher,LAA,HOU,Grayson Rodriguez,680570,,,,,4.99,15.0,2.52,4.51,4.98,2.09,4.874778692266034,5.086242445077734,2.024479522700157,2.305457584669659,4.35111261733127,5.152695076467376,0.551771054033733,0.637357051716803,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.58,,,
pitcher,HOU,LAA,Spencer Arrighetti,681293,,,,,5.21,16.0,2.58,4.67,4.46,2.08,3.509617383594119,5.411348899399254,1.944247171701428,2.491957572667811,4.466270166794887,5.460911678672102,0.5923881054310377,0.7485674124037963,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.64,,,
pitcher,SD,CIN,Walker Buehler,621111,,,,,5.25,16.0,2.39,4.81,4.29,1.72,3.7938178872773514,4.784658073199909,1.618682299844069,2.024393497776126,4.618643130816337,5.57339732109444,0.6982010192237086,0.8395498965742685,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,0.74,,,
