player_type,team,opponent,player_name,mlb_id,lineup_spot,pos,lineup_status,proj_pa,proj_ip,proj_outs,proj_runs_allowed,proj_hits_allowed,proj_strikeouts,proj_walks,direct_K,rate_K,direct_BB,rate_BB,direct_H,rate_H,direct_HR,rate_HR,proj_hits,proj_runs,proj_rbi,proj_hrrbi,proj_hr,proj_tb,direct_TB,rate_TB,used_fallback,confidence_score,proj_pa_confidence_score,proj_hits_confidence_score,proj_hr_confidence_score,proj_strikeouts_confidence_score,proj_runs_confidence_score,proj_rbi_confidence_score,proj_hrrbi_confidence_score,proj_walks_confidence_score,confidence,proj_pa_confidence,proj_hits_confidence,proj_hr_confidence,proj_strikeouts_confidence,proj_runs_confidence,proj_rbi_confidence,proj_hrrbi_confidence,proj_walks_confidence,game_date
pitcher,BAL,CLE,Brandon Young,687064,,,,,5.08,15.0,2.68,5.34,3.64,1.61,3.644,,1.615,,5.342,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,CLE,BAL,Tanner Bibee,676440,,,,,5.55,17.0,3.01,6.13,3.64,1.2,3.644,,1.2,,6.13,,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,MIN,DET,Dean Kremer,665152,,,,,5.08,15.0,2.75,4.85,5.26,1.72,5.26,,1.721,,4.848,,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,PHI,HOU,Andrew Painter,691725,,,,,5.08,15.0,2.73,5.34,3.64,1.69,3.644,,1.691,,5.342,,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,HOU,PHI,Hayden Wesneski,669713,,,,,5.08,15.0,2.65,4.85,4.94,2.0,4.935,,2.0,,4.848,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,MIA,NYM,Sandy Alcantara,645261,,,,,5.55,17.0,3.22,6.25,5.26,1.61,5.256,,1.615,,6.25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,NYM,MIA,Sean Manaea,640455,,,,,5.39,16.0,2.86,5.32,4.94,1.61,4.935,,1.615,,5.318,,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,BOS,LAA,Patrick Sandoval,663776,,,,,5.08,15.0,2.55,4.85,5.26,1.72,5.256,,1.721,,4.848,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,LAA,BOS,Reid Detmers,672282,,,,,5.55,17.0,2.54,4.85,6.39,1.61,6.386,,1.615,,4.848,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
pitcher,NYY,COL,Cam Schlittler,693645,,,,,5.55,17.0,2.5,4.81,10.0,1.69,10.0,,1.691,,4.806,,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-08
