game_date,gamePk,away_team,home_team,team_a,team_b,away_full,home_full,away_sp,home_sp,nrfi_prob,yrfi_prob,pick,lean,threshold,pass_margin,feature_coverage,features_found,features_total
2026-07-31,824651,NYY,CHC,NYY,CHC,New York Yankees,Chicago Cubs,Will Warren,Shota Imanaga,0.4878,0.5122,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824892,WSH,ATL,WSH,ATL,Washington Nationals,Atlanta Braves,Foster Griffin,Bryce Elder,0.4878,0.5122,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,823999,MIL,LAA,MIL,LAA,Milwaukee Brewers,Los Angeles Angels,Shane Drohan,Ryan Johnson,0.4872,0.5128,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,823922,BOS,LAD,BOS,LAD,Boston Red Sox,Los Angeles Dodgers,Ranger Suarez,Edgardo Henriquez,0.4802,0.5198,PASS,PASS,0.47,0.03,0.727,56,77
2026-07-31,822782,STL,TOR,STL,TOR,St. Louis Cardinals,Toronto Blue Jays,Kyle Leahy,Dylan Cease,0.4677,0.5323,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,822945,CWS,TB,CWS,TB,Chicago White Sox,Tampa Bay Rays,Erick Fedde,Nick Martinez,0.4674,0.5326,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824164,TEX,HOU,TEX,HOU,Texas Rangers,Houston Astros,Nathan Eovaldi,Hunter Brown,0.4658,0.5342,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824975,DET,ATH,DET,ATH,Detroit Tigers,Athletics,TBD,Jeffrey Springs,0.4658,0.5342,PASS,PASS,0.47,0.03,0.74,57,77
2026-07-31,823272,SF,SD,SF,SD,San Francisco Giants,San Diego Padres,Carson Whisenhunt,Bradgley Rodriguez,0.4539,0.5461,PASS,PASS,0.47,0.03,0.883,68,77
2026-07-31,824486,PIT,CIN,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,Paul Skenes,Hunter Greene,0.4533,0.5467,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824809,PHI,BAL,PHI,BAL,Philadelphia Phillies,Baltimore Orioles,TBD,Brandon Young,0.4533,0.5467,PASS,PASS,0.47,0.03,0.74,57,77
2026-07-31,823593,MIA,NYM,MIA,NYM,Miami Marlins,New York Mets,Janson Junk,Freddy Peralta,0.4533,0.5467,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824407,AZ,CLE,AZ,CLE,Arizona Diamondbacks,Cleveland Guardians,Mitch Bratt,Tanner Bibee,0.4533,0.5467,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,824325,KC,COL,KC,COL,Kansas City Royals,Colorado Rockies,Michael Wacha,Tomoyuki Sugano,0.4533,0.5467,PASS,PASS,0.47,0.03,1.0,77,77
2026-07-31,823111,MIN,SEA,MIN,SEA,Minnesota Twins,Seattle Mariners,Zebby Matthews,Bryce Miller,0.4533,0.5467,PASS,PASS,0.47,0.03,1.0,77,77
